TTL   IP Addresses    Absolute RTT    Relative RTT    Relative ZRTT  Location
1     181.167.145.1      45.724 ms       45.724 ms            0.521  Argentina
5     200.89.165.9       38.707 ms       -7.017 ms           -0.362  Argentina
6     200.89.165.250     37.643 ms       -1.064 ms           -0.238  Argentina
7     207.136.166.241    36.375 ms       -1.267 ms           -0.242  United States
8     67.17.106.162     186.092 ms      149.717 ms            2.917  United States
9     64.208.27.102     167.319 ms      -18.774 ms           -0.608  United States
10    129.250.3.172     166.514 ms       -0.804 ms           -0.232  Englewood, United States
11    129.250.3.174     193.829 ms       27.315 ms            0.356  Englewood, United States
12    129.250.2.168     201.637 ms        7.808 ms           -0.052  Englewood, United States
13    129.250.3.15      313.426 ms      111.789 ms            2.124  Englewood, United States
14    129.250.12.198    310.381 ms       -3.045 ms           -0.279  Englewood, United States
15    60.37.27.93       319.185 ms        8.804 ms           -0.031  Japan
16    122.1.246.194     342.279 ms       23.094 ms            0.268  Japan
17    122.28.23.238     334.705 ms       -7.574 ms           -0.374  Japan
18    118.23.5.214      344.825 ms       10.120 ms           -0.004  Japan
19    210.160.35.8      332.892 ms      -11.933 ms           -0.465  Japan

